experiment_subnum,Plasticity.lambda_plus,Plasticity.lambda_minus,Plasticity.lambda_h,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,num-epochs_avg,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
198,0.039999999999999994,0.0015,0.004,0.2,0.293,0.385,0.525,0.167,32.0,0.083,0.066,0.044,0.033,0.083,0.124,0.233,0.345,0.495,0.083,6.357,7.706,8.878,10.287,6.05,19.04.24 - 06:30
199,0.039999999999999994,0.0015,0.006,0.211,0.298,0.383,0.521,0.14,28.0,0.073,0.079,0.053,0.04,0.067,0.152,0.238,0.344,0.491,0.083,6.662,7.957,9.016,10.349,5.683,19.04.24 - 06:31
200,0.039999999999999994,0.0015,0.008,0.114,0.187,0.31,0.466,0.067,57.0,0.041,0.054,0.036,0.027,0.017,0.081,0.148,0.283,0.446,0.05,5.691,6.597,8.032,9.609,4.683,19.04.24 - 06:31
201,0.039999999999999994,0.0015,0.01,0.061,0.121,0.255,0.424,0.0,75.0,0.038,0.059,0.046,0.035,0.0,0.023,0.073,0.218,0.397,0.0,4.418,5.508,7.28,9.068,3.783,19.04.24 - 06:32
202,0.039999999999999994,0.0015,0.012,0.063,0.118,0.229,0.408,0.05,49.0,0.052,0.055,0.042,0.031,0.05,0.015,0.069,0.193,0.382,0.0,4.123,5.014,6.66,8.625,3.667,19.04.24 - 06:33
203,0.039999999999999994,0.0015,0.014,0.017,0.079,0.206,0.391,0.017,55.0,0.013,0.029,0.034,0.026,0.0,0.004,0.051,0.177,0.369,0.017,4.257,4.993,6.624,8.612,3.967,19.04.24 - 06:33
204,0.039999999999999994,0.0015,0.016,0.017,0.057,0.164,0.36,0.017,50.0,0.017,0.03,0.046,0.034,0.017,0.0,0.027,0.121,0.328,0.0,3.779,4.426,5.951,8.089,3.683,19.04.24 - 06:34
205,0.039999999999999994,0.0015,0.018000000000000002,0.013,0.041,0.129,0.33,0.0,55.0,0.008,0.016,0.025,0.019,0.0,0.005,0.028,0.112,0.317,0.0,3.847,4.316,5.707,7.887,3.767,19.04.24 - 06:35
206,0.039999999999999994,0.0015,0.02,0.033,0.073,0.156,0.347,0.033,44.0,0.033,0.048,0.054,0.041,0.033,0.0,0.025,0.106,0.309,0.0,3.681,4.296,5.435,7.652,3.633,19.04.24 - 06:35
207,0.039999999999999994,0.0015,0.022000000000000002,0.021,0.033,0.112,0.313,0.033,39.0,0.021,0.021,0.038,0.029,0.033,0.0,0.011,0.074,0.285,0.0,3.633,4.03,5.138,7.418,3.633,19.04.24 - 06:36
208,0.039999999999999994,0.0015,0.024,0.057,0.064,0.127,0.32,0.083,24.0,0.049,0.047,0.069,0.052,0.083,0.008,0.016,0.062,0.27,0.0,3.713,3.917,4.935,7.233,3.617,19.04.24 - 06:37
209,0.039999999999999994,0.002,0.004,0.374,0.434,0.5,0.622,0.267,-1,0.0,0.0,0.0,0.0,0.0,0.374,0.434,0.5,0.622,0.267,9.155,9.954,10.526,11.615,7.667,19.04.24 - 06:37
