experiment_subnum,plasticity.lambda_plus,plasticity.lambda_minus,plasticity.lambda_h,plasticity.tau_plus,num-epochs_avg,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
596,0.15000000000000002,0.0045000000000000005,0.019999999999999997,22,51,0.038,0.037,0.053,0.18,0.05,0.027,0.026,0.031,0.035,0.033,0.012,0.012,0.022,0.149,0.017,4.229,4.222,4.542,6.14,4.317,22.05.24 - 14:53
597,0.18000000000000005,0.0035,0.01,19,-1,0.3,0.296,0.285,0.359,0.3,0.3,0.296,0.28,0.219,0.3,0.0,0.0,0.007,0.144,0.0,4.283,4.283,4.494,6.127,4.283,22.05.24 - 14:54
598,0.15000000000000002,0.004,0.019999999999999997,15,42,0.061,0.118,0.221,0.393,0.033,0.038,0.035,0.024,0.018,0.033,0.028,0.089,0.201,0.379,0.0,5.153,6.029,7.317,9.027,4.4,22.05.24 - 14:54
599,0.17000000000000004,0.004,0.015,17,29,0.066,0.079,0.125,0.276,0.067,0.064,0.072,0.08,0.06,0.067,0.004,0.011,0.053,0.222,0.0,3.999,4.245,5.207,7.028,4.25,22.05.24 - 14:55
600,0.15000000000000002,0.005,0.01,19,-1,0.27,0.258,0.25,0.37,0.283,0.27,0.257,0.207,0.155,0.283,0.0,0.003,0.05,0.219,0.0,4.4,4.586,5.404,7.159,4.4,22.05.24 - 14:55
601,0.18000000000000005,0.005,0.019999999999999997,22,-1,0.16,0.163,0.167,0.247,0.174,0.152,0.157,0.16,0.137,0.167,0.01,0.008,0.008,0.114,0.017,4.471,4.471,4.559,5.863,4.383,22.05.24 - 14:56
602,0.18000000000000005,0.003,0.019999999999999997,16,24,0.077,0.095,0.138,0.286,0.067,0.076,0.087,0.099,0.076,0.067,0.001,0.011,0.048,0.217,0.0,3.923,4.192,5.115,6.977,3.767,22.05.24 - 14:56
603,0.16000000000000003,0.005,0.03,17,26,0.017,0.025,0.084,0.253,0.017,0.017,0.023,0.036,0.027,0.017,0.0,0.003,0.051,0.229,0.0,3.733,3.959,5.009,6.978,3.733,22.05.24 - 14:57
604,0.18000000000000005,0.0035,0.019999999999999997,16,30,0.08,0.108,0.151,0.297,0.067,0.073,0.087,0.093,0.07,0.067,0.009,0.025,0.068,0.234,0.0,4.01,4.434,5.409,7.209,4.033,22.05.24 - 14:58
605,0.18000000000000005,0.0045000000000000005,0.01,19,-1,0.317,0.311,0.297,0.375,0.317,0.317,0.311,0.292,0.223,0.317,0.0,0.0,0.008,0.156,0.0,4.467,4.467,4.735,6.414,4.467,22.05.24 - 14:58
606,0.18000000000000005,0.0045000000000000005,0.015,15,34,0.075,0.098,0.193,0.362,0.08,0.046,0.036,0.025,0.019,0.05,0.037,0.07,0.174,0.347,0.05,5.297,6.067,7.178,8.817,4.75,22.05.24 - 14:59
607,0.17000000000000004,0.0035,0.019999999999999997,19,28,0.1,0.103,0.117,0.236,0.083,0.097,0.101,0.107,0.091,0.067,0.003,0.002,0.011,0.15,0.017,4.187,4.103,4.476,6.161,4.417,22.05.24 - 14:59
608,0.14,0.0045000000000000005,0.01,22,-1,0.236,0.227,0.218,0.309,0.267,0.236,0.227,0.213,0.165,0.267,0.0,0.0,0.008,0.148,0.0,4.241,4.228,4.521,6.185,4.267,22.05.24 - 15:00
609,0.18000000000000005,0.005,0.024999999999999998,15,37,0.014,0.057,0.152,0.332,0.0,0.008,0.011,0.009,0.007,0.0,0.007,0.047,0.144,0.326,0.0,4.227,5.128,6.424,8.271,3.75,22.05.24 - 15:01
610,0.16000000000000003,0.004,0.019999999999999997,16,34,0.062,0.103,0.168,0.328,0.05,0.053,0.07,0.064,0.048,0.033,0.009,0.037,0.111,0.286,0.017,3.93,4.669,5.957,7.8,3.833,22.05.24 - 15:01
